Date,portfolio_plot,benchmark_plot,es_only_plot,es_weighted_plot,alts_weighted_plot
2024-05-30,24271478.99428055,5583842.678713791,18581808.157606617,6551377.743700349,4390463.149736634
2024-05-31,24498327.12425598,5629019.39941536,19028896.76005447,6638255.801120442,4373275.573411415
2024-06-03,24606112.515102807,5630879.6173266005,19047309.011508133,6642256.0539239645,4389881.329862485
2024-06-04,24628891.475474138,5638054.7435556725,19118327.69568656,6657722.529316974,4383723.409154189
2024-06-05,25617339.611693308,5703959.606696783,19770647.461473573,6799984.064217019,4465987.423152477
2024-06-06,25676589.81505035,5701833.643369651,19748537.511487804,6795109.449066911,4479518.25447942
2024-06-07,25408080.264696315,5693064.044645229,19657543.63111534,6775134.574081512,4445842.256245128
2024-06-10,25664460.406444754,5709540.260430507,19828501.830603,6810622.495991769,4467415.842554402
2024-06-11,25895484.620760005,5723093.276640977,19969128.73663317,6839686.139875934,4488566.010455601
2024-06-12,26686202.606460523,5769332.979006112,20448914.65132434,6938379.19542552,4560856.628256494
2024-06-13,26830235.514882978,5781025.77730534,20570239.825154293,6962946.026819468,4569324.149857346
2024-06-14,26967087.877629,5779962.795641775,20559210.263897024,6960716.802605794,4594093.689472523
2024-06-17,27641592.572918408,5823545.043847994,21011422.275445025,7051622.055424765,4649004.088204165
2024-06-18,27766967.954299413,5836832.314642573,21154333.87630706,7079013.894209022,4652031.880148763
2024-06-20,27495285.008120682,5821684.825936752,20991368.29667058,7047807.443412677,4627022.143131895
2024-06-21,27334404.234296158,5816518.880381344,20935790.02041914,7037106.918960161,4606973.551851714
2024-06-24,27736226.99899332,5864469.837895296,21451674.58301222,7136863.430958545,4609389.781836983
2024-06-25,28152669.16959616,5885729.471166623,21680398.203554653,7181068.818954627,4650046.5600017365
2024-06-26,28263980.044619817,5892638.851979803,21754733.38023094,7195310.723689134,4659209.817544825
2024-06-27,28340813.355831124,5895296.306138719,21783323.83279874,7200777.627744358,4668335.489853748
2024-06-28,27987584.6404899,5869253.255381345,21503137.397634264,7147306.61846203,4644816.983446893
2024-07-01,28273219.775917016,5882274.780760031,21643230.615216505,7174178.513236651,4674757.738016199
2024-07-02,28881410.595730178,5919479.1389848525,22043496.95116576,7250465.447449623,4725608.139405595
2024-07-03,29396608.667928576,5942333.244751528,22289374.84324887,7296828.407332439,4779687.605054898
2024-07-05,30043815.14140416,5975551.4217379745,22661004.981906213,7363458.763069849,4841273.65032093
2024-07-08,30079454.681423783,5979537.602976348,22705606.08791199,7371353.601626835,4841825.980154431
2024-07-09,30170656.981107756,5985915.492957746,22776967.85752123,7383983.903899017,4848210.488337465
2024-07-10,31030008.42330077,6046239.702365133,23451931.26174194,7503288.465102486,4907968.623629569
2024-07-11,29948429.078039408,5994950.837098058,22851031.107226428,7403068.955033437,4802451.369972789
2024-07-12,30213505.78817187,6021525.378687217,23162349.368520293,7456152.872388,4810522.259783333
2024-07-15,30427415.192658007,6040924.794047302,23389611.699264813,7494839.578943544,4819620.714644575
2024-07-16,30809893.05499861,6077331.916024447,23816117.71723741,7567307.043134899,4833603.3562909
2024-07-17,29517662.40478982,5994153.600850385,22841691.559387613,7387545.378805477,4745694.462504739
2024-07-18,29035921.05453343,5946850.916821683,22316882.670679443,7283386.921858991,4735153.1034398265
2024-07-19,28513632.466647353,5903534.414031356,21890079.312000144,7193491.462939108,4708422.521965319
2024-07-22,29114965.346007563,5964124.368854634,22449166.24730694,7312616.048407988,4729748.194503627
2024-07-23,29001097.83630657,5951900.079723623,22336354.674908288,7288686.17276645,4726728.005061392
2024-07-24,27775113.142807186,5816635.663034811,21217324.36140445,7057836.150178628,4676618.278465333
2024-07-25,27479266.703107,5783948.976880146,21051311.674867626,7022025.094751472,4650534.201487536
2024-07-26,27813565.434724335,5845336.1679511005,21362452.04001218,7089532.317151236,4662401.664338704
2024-07-29,27821162.173908267,5849588.094605366,21384002.8878144,7094196.353492315,4660607.825219817
2024-07-30,27674081.49640751,5817167.153866595,21219677.673322473,7058619.397308861,4659341.494651249
2024-07-31,28323605.729095604,5908052.086101513,21680327.045094926,7178307.300070928,4689693.43612848
2024-08-01,27731841.171141177,5825405.261759234,21229777.0918562,7070139.956933736,4662379.071658721
2024-08-02,27088445.459090598,5714589.423332446,20731591.63257917,6941787.412589558,4638850.656161494
2024-08-05,26255670.375387333,5546106.829657188,20159487.78188995,6791050.219060751,4596969.481849556
2024-08-06,26405690.305129174,5597927.185756045,20293204.69320618,6826917.995720496,4598956.228896759
2024-08-07,26253217.95905208,5556736.646292851,20186848.209653948,6798402.206372804,4591610.503448069
2024-08-08,26702149.668322705,5685091.682168484,20518268.735819932,6887403.840403843,4610016.030925058
2024-08-09,26772351.91638999,5708477.27876694,20578651.771643132,6903555.551344186,4611325.170682499
2024-08-12,26808018.81557414,5707945.787935157,20577035.458057962,6903188.570974894,4617713.640639523
2024-08-13,27088116.944211878,5802816.90140845,20858289.270118307,6968603.936478654,4622202.925261503
2024-08-14,27078234.124260243,5821950.571352643,20915012.72801283,6984826.976952007,4609755.987244137
2024-08-15,27533259.682505455,5918150.411905394,21259938.113285065,7066698.239319089,4633186.483190121
2024-08-16,27676271.72625594,5929577.464788732,21300917.761965584,7077764.000349683,4649996.857501411
2024-08-19,27945046.68169429,5984586.765878288,21521819.03468546,7130904.353995037,4660242.265585736
2024-08-20,27923918.938775413,5973691.203826734,21478056.58195501,7120401.9376287395,4663582.525865133
2024-08-21,28024804.29518787,5996811.0550093,21570918.371895235,7142671.567393302,4665845.691670545
2024-08-22,27729325.193477202,5946319.425989901,21368116.76168095,7094060.260548208,4648406.042870127
2024-08-23,28130095.875433356,6008503.85330853,21656471.171472352,7162508.409158064,4670738.373167768
2024-08-26,28073416.36931024,5992027.637523252,21580052.068475563,7144454.691621642,4673100.270382096
2024-08-27,28102707.69668906,6000265.745415891,21618261.619973958,7153476.976475314,4672074.7381225955
2024-08-28,27849534.183598835,5963592.878022853,21462155.207580186,7113304.451887365,4656222.101305866
2024-08-29,27912683.35113693,5963327.132606961,21461024.296345282,7113012.349919423,4666971.347145372
2024-08-30,28058311.334278896,6017539.197448842,21691730.18826575,7172463.897286394,4652312.996841198
2024-09-03,27395147.2403902,5890778.634068561,21152285.529216424,7033017.839373731,4632804.230240046
2024-09-04,27360716.062694762,5878288.5995216565,21099132.701175924,7019218.860196152,4636071.252548201
2024-09-05,27298310.707919657,5859420.674993355,20981639.918676842,6987216.097191168,4646634.391164064
